Monthly Budget Summary, February 2015

                               BUDGETED      ACTUAL                     YTD         YTD     AVERAGE
DESCRIPTION                     AMOUNTS     AMOUNTS    VARIANCE    VARIANCE      ACTUAL      ACTUAL

EXPENSES
Auto - Fees                        0.00        0.00        0.00        0.00        0.00        0.00
Auto - Gas                       200.00      155.00       45.00       63.00      337.00      168.50
Auto - Parking                    55.00       55.00        0.00        0.00      110.00       55.00
Auto - Repair and Maint          125.00        0.00      125.00      250.00        0.00        0.00
Cable                             99.00       97.55        1.45        2.90      195.10       97.55
Charity                          400.00      300.00      100.00      200.00      600.00      300.00
Clothes                          500.00      650.00     -150.00     -161.00     1161.00      580.50
Computer                          55.00       50.00        5.00        0.00      100.00       50.00
Entertain - DiningOut            350.00      437.00      -87.00     -161.00      861.00      430.50
Entertain - Music/Movies          35.00        0.00       35.00       15.00       55.00       27.50
Entertain - Recreation           105.00      104.50        0.50        1.00      209.00      104.50
Groceries                        900.00     1200.00     -300.00     -300.00     2100.00     1050.00
Ins - Auto                       222.00      221.67        0.33        0.66      443.34      221.67
Ins - Health                     333.00      332.99        0.01        0.02      665.98      332.99
Ins - Life                       395.00      395.00        0.00        0.00      790.00      395.00
Medical                          150.00       65.00       85.00      235.00       65.00       32.50
Miscellaneous                    300.00      300.00        0.00        0.00      600.00      300.00
Online Services                   57.00       56.85        0.15        0.30      113.70       56.85
Phone                            200.00      200.00        0.00        0.00      400.00      200.00
Taxes - Federal                  400.00      400.00        0.00        0.00      800.00      400.00
Taxes - Medicare                 128.00      128.00        0.00        0.00      256.00      128.00
Taxes - Other                      0.00        0.00        0.00        0.00        0.00        0.00
Taxes - Social Security          191.00      191.00        0.00        0.00      382.00      191.00
Taxes - State                    100.00      100.00        0.00        0.00      200.00      100.00
Utilities - Electric             125.00      109.99       15.01       40.02      209.98      104.99
Utilities - Garbage               56.00       56.00        0.00        0.00      112.00       56.00
Utilities - Gas                  125.00      125.00        0.00        0.00      250.00      125.00
Utilities - Water                 67.00       65.00        2.00        4.00      130.00       65.00
SUBTOTAL                        5673.00     5795.55     -122.55      189.90    11146.10     5573.05

INCOME
Bonus                              0.00        0.00        0.00        0.00        0.00        0.00
Interest - Checking                0.00        0.01       -0.01       -0.02        0.02        0.01
Interest - Other                   0.00        0.00        0.00        0.00        0.00        0.00
Interest - Savings                 1.00        2.00       -1.00       -2.00        4.00        2.00
Other Income                       0.00        0.00        0.00        0.00        0.00        0.00
Salary                          6000.00     6000.00        0.00        0.00    12000.00     6000.00
SUBTOTAL                        6001.00     6002.01       -1.01       -2.02    12004.02     6002.01

TOTAL                            328.00      206.46                              857.92      428.96
