Monthly Budget Summary, March 2015

                               BUDGETED      ACTUAL                     YTD         YTD     AVERAGE
DESCRIPTION                     AMOUNTS     AMOUNTS    VARIANCE    VARIANCE      ACTUAL      ACTUAL

EXPENSES
Auto - Fees                        0.00        0.00        0.00        0.00        0.00        0.00
Auto - Gas                       200.00      173.00       27.00       90.00      510.00      170.00
Auto - Parking                    55.00       55.00        0.00        0.00      165.00       55.00
Auto - Repair and Maint          125.00        0.00      125.00      375.00        0.00        0.00
Cable                             99.00       97.55        1.45        4.35      292.65       97.55
Charity                          400.00      300.00      100.00      300.00      900.00      300.00
Clothes                          500.00      500.00        0.00     -161.00     1661.00      553.67
Computer                          65.00       50.00       15.00       15.00      150.00       50.00
Entertain - DiningOut            350.00      447.00      -97.00     -258.00     1308.00      436.00
Entertain - Music/Movies          35.00       55.00      -20.00       -5.00      110.00       36.67
Entertain - Recreation           105.00      104.50        0.50        1.50      313.50      104.50
Groceries                        900.00      855.00       45.00     -255.00     2955.00      985.00
Ins - Auto                       222.00      221.67        0.33        0.99      665.01      221.67
Ins - Health                     333.00      332.99        0.01        0.03      998.97      332.99
Ins - Life                       395.00      395.00        0.00        0.00     1185.00      395.00
Medical                          150.00        0.00      150.00      385.00       65.00       21.67
Miscellaneous                    300.00      300.00        0.00        0.00      900.00      300.00
Online Services                   57.00       56.85        0.15        0.45      170.55       56.85
Phone                            200.00      200.00        0.00        0.00      600.00      200.00
Taxes - Federal                  400.00      400.00        0.00        0.00     1200.00      400.00
Taxes - Medicare                 128.00      128.00        0.00        0.00      384.00      128.00
Taxes - Other                      0.00        0.00        0.00        0.00        0.00        0.00
Taxes - Social Security          191.00      191.00        0.00        0.00      573.00      191.00
Taxes - State                    100.00      100.00        0.00        0.00      300.00      100.00
Utilities - Electric             125.00      119.99        5.01       45.03      329.97      109.99
Utilities - Garbage               56.00       56.00        0.00        0.00      168.00       56.00
Utilities - Gas                  125.00      125.00        0.00        0.00      375.00      125.00
Utilities - Water                 67.00       65.00        2.00        6.00      195.00       65.00
SUBTOTAL                        5683.00     5328.55      354.45      544.35    16474.65     5491.55

INCOME
Bonus                           5000.00     5100.00     -100.00     -100.00     5100.00     1700.00
Interest - Checking                0.00        0.01       -0.01       -0.03        0.03        0.01
Interest - Other                   0.00        0.00        0.00        0.00        0.00        0.00
Interest - Savings                 1.00        2.00       -1.00       -3.00        6.00        2.00
Other Income                       0.00        0.00        0.00        0.00        0.00        0.00
Salary                          6000.00     6000.00        0.00        0.00    18000.00     6000.00
SUBTOTAL                       11001.00    11102.01     -101.01     -103.03    23106.03     7702.01

TOTAL                           5318.00     5773.46                             6631.38     2210.46
