Monthly Budget Summary, April 2015

                               BUDGETED      ACTUAL                     YTD         YTD     AVERAGE
DESCRIPTION                     AMOUNTS     AMOUNTS    VARIANCE    VARIANCE      ACTUAL      ACTUAL

EXPENSES
Auto - Fees                        0.00        0.00        0.00        0.00        0.00        0.00
Auto - Gas                       200.00      280.00      -80.00       10.00      790.00      197.50
Auto - Parking                    55.00       55.00        0.00        0.00      220.00       55.00
Auto - Repair and Maint          125.00      312.00     -187.00      188.00      312.00       78.00
Cable                             99.00       97.55        1.45        5.80      390.20       97.55
Charity                          400.00      500.00     -100.00      200.00     1400.00      350.00
Clothes                          500.00      400.00      100.00      -61.00     2061.00      515.25
Computer                          45.00       50.00       -5.00       10.00      200.00       50.00
Entertain - DiningOut            350.00      411.00      -61.00     -319.00     1719.00      429.75
Entertain - Music/Movies          35.00        0.00       35.00       30.00      110.00       27.50
Entertain - Recreation           105.00      104.50        0.50        2.00      418.00      104.50
Groceries                        900.00      879.00       21.00     -234.00     3834.00      958.50
Ins - Auto                       222.00      221.67        0.33        1.32      886.68      221.67
Ins - Health                     333.00      332.99        0.01        0.04     1331.96      332.99
Ins - Life                       395.00      395.00        0.00        0.00     1580.00      395.00
Medical                          150.00        0.00      150.00      535.00       65.00       16.25
Miscellaneous                    300.00      300.00        0.00        0.00     1200.00      300.00
Online Services                   57.00       56.85        0.15        0.60      227.40       56.85
Phone                            200.00      200.00        0.00        0.00      800.00      200.00
Taxes - Federal                 2400.00     2555.00     -155.00     -155.00     3755.00      938.75
Taxes - Medicare                 128.00      128.00        0.00        0.00      512.00      128.00
Taxes - Other                      0.00        0.00        0.00        0.00        0.00        0.00
Taxes - Social Security          191.00      191.00        0.00        0.00      764.00      191.00
Taxes - State                    100.00      100.00        0.00        0.00      400.00      100.00
Utilities - Electric             125.00      199.00      -74.00      -28.97      528.97      132.24
Utilities - Garbage               56.00       56.00        0.00        0.00      224.00       56.00
Utilities - Gas                  125.00      125.00        0.00        0.00      500.00      125.00
Utilities - Water                 67.00       65.00        2.00        8.00      260.00       65.00
SUBTOTAL                        7663.00     8014.56     -351.56      192.79    24489.21     6122.30

INCOME
Bonus                              0.00        0.00        0.00     -100.00     5100.00     1275.00
Interest - Checking                0.00        0.01       -0.01       -0.04        0.04        0.01
Interest - Other                   0.00        0.00        0.00        0.00        0.00        0.00
Interest - Savings                 1.00        2.00       -1.00       -4.00        8.00        2.00
Other Income                       0.00        0.00        0.00        0.00        0.00        0.00
Salary                          6000.00     6000.00        0.00        0.00    24000.00     6000.00
SUBTOTAL                        6001.00     6002.01       -1.01     -104.04    29108.04     7277.01

TOTAL                          -1662.00    -2012.55                             4618.83     1154.71
