Monthly Budget Summary, May 2015

                               BUDGETED      ACTUAL                     YTD         YTD     AVERAGE
DESCRIPTION                     AMOUNTS     AMOUNTS    VARIANCE    VARIANCE      ACTUAL      ACTUAL

EXPENSES
Auto - Fees                        0.00        0.00        0.00        0.00        0.00        0.00
Auto - Gas                       200.00      246.00      -46.00      -36.00     1036.00      207.20
Auto - Parking                    55.00       55.00        0.00        0.00      275.00       55.00
Auto - Repair and Maint          125.00      455.00     -330.00     -142.00      767.00      153.40
Cable                             99.00       97.55        1.45        7.25      487.75       97.55
Charity                          400.00      300.00      100.00      300.00     1700.00      340.00
Clothes                          500.00      400.00      100.00       39.00     2461.00      492.20
Computer                          55.00       50.00        5.00       15.00      250.00       50.00
Entertain - DiningOut            350.00      512.00     -162.00     -481.00     2231.00      446.20
Entertain - Music/Movies          35.00       55.00      -20.00       10.00      165.00       33.00
Entertain - Recreation           105.00      104.50        0.50        2.50      522.50      104.50
Groceries                        900.00     1052.00     -152.00     -386.00     4886.00      977.20
Ins - Auto                       222.00      221.67        0.33        1.65     1108.35      221.67
Ins - Health                     333.00      332.99        0.01        0.05     1664.95      332.99
Ins - Life                       395.00      395.00        0.00        0.00     1975.00      395.00
Medical                          150.00      765.00     -615.00      -80.00      830.00      166.00
Miscellaneous                    300.00      300.00        0.00        0.00     1500.00      300.00
Online Services                   57.00       56.85        0.15        0.75      284.25       56.85
Phone                            200.00      200.00        0.00        0.00     1000.00      200.00
Taxes - Federal                  400.00      400.00        0.00     -155.00     4155.00      831.00
Taxes - Medicare                 128.00      128.00        0.00        0.00      640.00      128.00
Taxes - Other                      0.00        0.00        0.00        0.00        0.00        0.00
Taxes - Social Security          191.00      191.00        0.00        0.00      955.00      191.00
Taxes - State                    100.00      100.00        0.00        0.00      500.00      100.00
Utilities - Electric             125.00      126.00       -1.00      -29.97      654.97      130.99
Utilities - Garbage               56.00       56.00        0.00        0.00      280.00       56.00
Utilities - Gas                  125.00      125.00        0.00        0.00      625.00      125.00
Utilities - Water                 67.00       65.00        2.00       10.00      325.00       65.00
SUBTOTAL                        5673.00     6789.56    -1116.56     -923.77    31278.77     6255.75

INCOME
Bonus                              0.00        0.00        0.00     -100.00     5100.00     1020.00
Interest - Checking                0.00        0.01       -0.01       -0.05        0.05        0.01
Interest - Other                   0.00        0.00        0.00        0.00        0.00        0.00
Interest - Savings                 1.00        2.00       -1.00       -5.00       10.00        2.00
Other Income                       0.00      545.00     -545.00     -545.00      545.00      109.00
Salary                          6000.00     6000.00        0.00        0.00    30000.00     6000.00
SUBTOTAL                        6001.00     6547.01     -546.01     -650.05    35655.05     7131.01

TOTAL                            328.00     -242.55                             4376.28      875.26
