Monthly Budget Summary, June 2015

                               BUDGETED      ACTUAL                     YTD         YTD     AVERAGE
DESCRIPTION                     AMOUNTS     AMOUNTS    VARIANCE    VARIANCE      ACTUAL      ACTUAL

EXPENSES
Auto - Fees                        0.00      100.00     -100.00     -100.00      100.00       16.67
Auto - Gas                       200.00      258.00      -58.00      -94.00     1294.00      215.67
Auto - Parking                    55.00       55.00        0.00        0.00      330.00       55.00
Auto - Repair and Maint          125.00        0.00      125.00      -17.00      767.00      127.83
Cable                             99.00       97.55        1.45        8.70      585.30       97.55
Charity                          400.00      300.00      100.00      400.00     2000.00      333.33
Clothes                          500.00      700.00     -200.00     -161.00     3161.00      526.83
Computer                          65.00       50.00       15.00       30.00      300.00       50.00
Entertain - DiningOut            350.00      467.00     -117.00     -598.00     2698.00      449.67
Entertain - Music/Movies          35.00        0.00       35.00       45.00      165.00       27.50
Entertain - Recreation           105.00      104.50        0.50        3.00      627.00      104.50
Groceries                        900.00      699.00      201.00     -185.00     5585.00      930.83
Ins - Auto                       222.00      221.67        0.33        1.98     1330.02      221.67
Ins - Health                     333.00      332.99        0.01        0.06     1997.94      332.99
Ins - Life                       395.00      395.00        0.00        0.00     2370.00      395.00
Medical                          150.00        0.00      150.00       70.00      830.00      138.33
Miscellaneous                    300.00      300.00        0.00        0.00     1800.00      300.00
Online Services                   57.00       56.85        0.15        0.90      341.10       56.85
Phone                            200.00      200.00        0.00        0.00     1200.00      200.00
Taxes - Federal                  400.00      400.00        0.00     -155.00     4555.00      759.17
Taxes - Medicare                 128.00      128.00        0.00        0.00      768.00      128.00
Taxes - Other                      0.00      676.00     -676.00     -676.00      676.00      112.67
Taxes - Social Security          191.00      191.00        0.00        0.00     1146.00      191.00
Taxes - State                    100.00      100.00        0.00        0.00      600.00      100.00
Utilities - Electric             125.00      212.00      -87.00     -116.97      866.97      144.50
Utilities - Garbage               56.00       56.00        0.00        0.00      336.00       56.00
Utilities - Gas                  125.00      125.00        0.00        0.00      750.00      125.00
Utilities - Water                 67.00       65.00        2.00       12.00      390.00       65.00
SUBTOTAL                        5683.00     6290.56     -607.56    -1531.33    37569.33     6261.56

INCOME
Bonus                           6000.00     4100.00     1900.00     1800.00     9200.00     1533.33
Interest - Checking                0.00        0.01       -0.01       -0.06        0.06        0.01
Interest - Other                   0.00        0.00        0.00        0.00        0.00        0.00
Interest - Savings                 1.00        2.00       -1.00       -6.00       12.00        2.00
Other Income                       0.00        0.00        0.00     -545.00      545.00       90.83
Salary                          6000.00     6000.00        0.00        0.00    36000.00     6000.00
SUBTOTAL                       12001.00    10102.01     1898.99     1248.94    45757.06     7626.18

TOTAL                           6318.00     3811.45                             8187.73     1364.62
