Monthly Budget Summary, July 2015

                               BUDGETED      ACTUAL                     YTD         YTD     AVERAGE
DESCRIPTION                     AMOUNTS     AMOUNTS    VARIANCE    VARIANCE      ACTUAL      ACTUAL

EXPENSES
Auto - Fees                       55.00        0.00       55.00      -45.00      100.00       14.29
Auto - Gas                       200.00      266.00      -66.00     -160.00     1560.00      222.86
Auto - Parking                    55.00       55.00        0.00        0.00      385.00       55.00
Auto - Repair and Maint          125.00      612.00     -487.00     -504.00     1379.00      197.00
Cable                             99.00       97.55        1.45       10.15      682.85       97.55
Charity                          400.00      300.00      100.00      500.00     2300.00      328.57
Clothes                          500.00      741.00     -241.00     -402.00     3902.00      557.43
Computer                          45.00       50.00       -5.00       25.00      350.00       50.00
Entertain - DiningOut            350.00      487.00     -137.00     -735.00     3185.00      455.00
Entertain - Music/Movies          35.00       55.00      -20.00       25.00      220.00       31.43
Entertain - Recreation           105.00        0.00      105.00      108.00      627.00       89.57
Groceries                        900.00      900.00        0.00     -185.00     6485.00      926.43
Ins - Auto                       222.00      221.67        0.33        2.31     1551.69      221.67
Ins - Health                     333.00      332.99        0.01        0.07     2330.93      332.99
Ins - Life                       395.00      395.00        0.00        0.00     2765.00      395.00
Medical                          150.00        0.00      150.00      220.00      830.00      118.57
Miscellaneous                    300.00      600.00     -300.00     -300.00     2400.00      342.86
Online Services                   57.00       56.85        0.15        1.05      397.95       56.85
Phone                            200.00      200.00        0.00        0.00     1400.00      200.00
Taxes - Federal                  400.00      400.00        0.00     -155.00     4955.00      707.86
Taxes - Medicare                 128.00      128.00        0.00        0.00      896.00      128.00
Taxes - Other                    666.00        0.00      666.00      -10.00      676.00       96.57
Taxes - Social Security          191.00      191.00        0.00        0.00     1337.00      191.00
Taxes - State                    100.00      100.00        0.00        0.00      700.00      100.00
Utilities - Electric             125.00      222.00      -97.00     -213.97     1088.97      155.57
Utilities - Garbage               56.00       56.00        0.00        0.00      392.00       56.00
Utilities - Gas                  125.00      125.00        0.00        0.00      875.00      125.00
Utilities - Water                 67.00       65.00        2.00       14.00      455.00       65.00
SUBTOTAL                        6384.00     6657.06     -273.06    -1804.39    44226.39     6318.06

INCOME
Bonus                              0.00        0.00        0.00     1800.00     9200.00     1314.29
Interest - Checking                0.00        0.01       -0.01       -0.07        0.07        0.01
Interest - Other                   0.00        0.00        0.00        0.00        0.00        0.00
Interest - Savings                 1.00        2.00       -1.00       -7.00       14.00        2.00
Other Income                       0.00        0.00        0.00     -545.00      545.00       77.86
Salary                          6000.00     6000.00        0.00        0.00    42000.00     6000.00
SUBTOTAL                        6001.00     6002.01       -1.01     1247.93    51759.07     7394.15

TOTAL                           -383.00     -655.05                             7532.68     1076.10
