Monthly Budget Summary, August 2015

                               BUDGETED      ACTUAL                     YTD         YTD     AVERAGE
DESCRIPTION                     AMOUNTS     AMOUNTS    VARIANCE    VARIANCE      ACTUAL      ACTUAL

EXPENSES
Auto - Fees                        0.00        0.00        0.00      -45.00      100.00       12.50
Auto - Gas                       200.00      275.00      -75.00     -235.00     1835.00      229.38
Auto - Parking                    55.00       55.00        0.00        0.00      440.00       55.00
Auto - Repair and Maint          125.00        0.00      125.00     -379.00     1379.00      172.38
Cable                             99.00       97.55        1.45       11.60      780.40       97.55
Charity                          400.00      300.00      100.00      600.00     2600.00      325.00
Clothes                          500.00        0.00      500.00       98.00     3902.00      487.75
Computer                          45.00       50.00       -5.00       20.00      400.00       50.00
Entertain - DiningOut            350.00      414.00      -64.00     -799.00     3599.00      449.88
Entertain - Music/Movies          35.00        0.00       35.00       60.00      220.00       27.50
Entertain - Recreation           105.00      209.00     -104.00        4.00      836.00      104.50
Groceries                        900.00      900.00        0.00     -185.00     7385.00      923.12
Ins - Auto                       222.00      221.67        0.33        2.64     1773.36      221.67
Ins - Health                     333.00      332.99        0.01        0.08     2663.92      332.99
Ins - Life                       395.00      395.00        0.00        0.00     3160.00      395.00
Medical                          150.00       99.00       51.00      271.00      929.00      116.12
Miscellaneous                    300.00      300.00        0.00     -300.00     2700.00      337.50
Online Services                   57.00       56.85        0.15        1.20      454.80       56.85
Phone                            200.00        0.00      200.00      200.00     1400.00      175.00
Taxes - Federal                  400.00      400.00        0.00     -155.00     5355.00      669.38
Taxes - Medicare                 128.00      128.00        0.00        0.00     1024.00      128.00
Taxes - Other                      0.00        0.00        0.00      -10.00      676.00       84.50
Taxes - Social Security          191.00      191.00        0.00        0.00     1528.00      191.00
Taxes - State                    100.00      100.00        0.00        0.00      800.00      100.00
Utilities - Electric             125.00      250.00     -125.00     -338.97     1338.97      167.37
Utilities - Garbage               56.00       56.00        0.00        0.00      448.00       56.00
Utilities - Gas                  125.00      125.00        0.00        0.00     1000.00      125.00
Utilities - Water                 67.00       65.00        2.00       16.00      520.00       65.00
SUBTOTAL                        5663.00     5021.06      641.94    -1162.45    49247.45     6155.93

INCOME
Bonus                              0.00        0.00        0.00     1800.00     9200.00     1150.00
Interest - Checking                0.00        0.01       -0.01       -0.08        0.08        0.01
Interest - Other                   0.00        0.00        0.00        0.00        0.00        0.00
Interest - Savings                 1.00        2.00       -1.00       -8.00       16.00        2.00
Other Income                       0.00        0.00        0.00     -545.00      545.00       68.12
Salary                          6000.00     6000.00        0.00        0.00    48000.00     6000.00
SUBTOTAL                        6001.00     6002.01       -1.01     1246.92    57761.08     7220.14

TOTAL                            338.00      980.95                             8513.63     1064.20
