Monthly Budget Summary, September 2015

                               BUDGETED      ACTUAL                     YTD         YTD     AVERAGE
DESCRIPTION                     AMOUNTS     AMOUNTS    VARIANCE    VARIANCE      ACTUAL      ACTUAL

EXPENSES
Auto - Fees                        0.00        0.00        0.00      -45.00      100.00       11.11
Auto - Gas                       200.00      271.00      -71.00     -306.00     2106.00      234.00
Auto - Parking                    55.00       55.00        0.00        0.00      495.00       55.00
Auto - Repair and Maint          125.00        0.00      125.00     -254.00     1379.00      153.22
Cable                             99.00       97.55        1.45       13.05      877.95       97.55
Charity                          400.00     1500.00    -1100.00     -500.00     4100.00      455.56
Clothes                          500.00      800.00     -300.00     -202.00     4702.00      522.44
Computer                          45.00       50.00       -5.00       15.00      450.00       50.00
Entertain - DiningOut            350.00      517.00     -167.00     -966.00     4116.00      457.33
Entertain - Music/Movies          35.00       55.00      -20.00       40.00      275.00       30.56
Entertain - Recreation           105.00      104.00        1.00        5.00      940.00      104.44
Groceries                        900.00      900.00        0.00     -185.00     8285.00      920.56
Ins - Auto                       222.00      221.67        0.33        2.97     1995.03      221.67
Ins - Health                     333.00      332.99        0.01        0.09     2996.91      332.99
Ins - Life                       395.00      395.00        0.00        0.00     3555.00      395.00
Medical                          150.00      256.00     -106.00      165.00     1185.00      131.67
Miscellaneous                    300.00      300.00        0.00     -300.00     3000.00      333.33
Online Services                   57.00       56.85        0.15        1.35      511.65       56.85
Phone                            200.00      200.00        0.00      200.00     1600.00      177.78
Taxes - Federal                  400.00      400.00        0.00     -155.00     5755.00      639.44
Taxes - Medicare                 128.00      128.00        0.00        0.00     1152.00      128.00
Taxes - Other                      0.00        0.00        0.00      -10.00      676.00       75.11
Taxes - Social Security          191.00      191.00        0.00        0.00     1719.00      191.00
Taxes - State                    100.00      100.00        0.00        0.00      900.00      100.00
Utilities - Electric             125.00      201.00      -76.00     -414.97     1539.97      171.11
Utilities - Garbage               56.00       56.00        0.00        0.00      504.00       56.00
Utilities - Gas                  125.00      125.00        0.00        0.00     1125.00      125.00
Utilities - Water                 67.00       65.00        2.00       18.00      585.00       65.00
SUBTOTAL                        5663.00     7378.06    -1715.06    -2877.51    56625.51     6291.72

INCOME
Bonus                           7000.00     7100.00     -100.00     1700.00    16300.00     1811.11
Interest - Checking                0.00        0.01       -0.01       -0.09        0.09        0.01
Interest - Other                   0.00        0.00        0.00        0.00        0.00        0.00
Interest - Savings                 1.00        2.00       -1.00       -9.00       18.00        2.00
Other Income                       0.00        0.00        0.00     -545.00      545.00       60.56
Salary                          6000.00     6000.00        0.00        0.00    54000.00     6000.00
SUBTOTAL                       13001.00    13102.01     -101.01     1145.91    70863.09     7873.68

TOTAL                           7338.00     5723.95                            14237.58     1581.95
