Monthly Budget Summary, October 2015

                               BUDGETED      ACTUAL                     YTD         YTD     AVERAGE
DESCRIPTION                     AMOUNTS     AMOUNTS    VARIANCE    VARIANCE      ACTUAL      ACTUAL

EXPENSES
Auto - Fees                        0.00        0.00        0.00      -45.00      100.00       10.00
Auto - Gas                       200.00      216.00      -16.00     -322.00     2322.00      232.20
Auto - Parking                    55.00       55.00        0.00        0.00      550.00       55.00
Auto - Repair and Maint          125.00      555.00     -430.00     -684.00     1934.00      193.40
Cable                             99.00       97.55        1.45       14.50      975.50       97.55
Charity                          400.00      300.00      100.00     -400.00     4400.00      440.00
Clothes                          500.00        0.00      500.00      298.00     4702.00      470.20
Computer                          45.00       50.00       -5.00       10.00      500.00       50.00
Entertain - DiningOut            350.00      668.00     -318.00    -1284.00     4784.00      478.40
Entertain - Music/Movies          35.00        0.00       35.00       75.00      275.00       27.50
Entertain - Recreation           105.00      104.00        1.00        6.00     1044.00      104.40
Groceries                        900.00      900.00        0.00     -185.00     9185.00      918.50
Ins - Auto                       222.00      221.67        0.33        3.30     2216.70      221.67
Ins - Health                     333.00      332.99        0.01        0.10     3329.90      332.99
Ins - Life                       395.00      395.00        0.00        0.00     3950.00      395.00
Medical                          150.00        0.00      150.00      315.00     1185.00      118.50
Miscellaneous                    300.00      300.00        0.00     -300.00     3300.00      330.00
Online Services                   57.00       56.85        0.15        1.50      568.50       56.85
Phone                            200.00      200.00        0.00      200.00     1800.00      180.00
Taxes - Federal                  400.00      400.00        0.00     -155.00     6155.00      615.50
Taxes - Medicare                 128.00      128.00        0.00        0.00     1280.00      128.00
Taxes - Other                      0.00        0.00        0.00      -10.00      676.00       67.60
Taxes - Social Security          191.00      191.00        0.00        0.00     1910.00      191.00
Taxes - State                    100.00      100.00        0.00        0.00     1000.00      100.00
Utilities - Electric             125.00      152.00      -27.00     -441.97     1691.97      169.20
Utilities - Garbage               56.00       56.00        0.00        0.00      560.00       56.00
Utilities - Gas                  125.00      125.00        0.00        0.00     1250.00      125.00
Utilities - Water                 67.00       65.00        2.00       20.00      650.00       65.00
SUBTOTAL                        5663.00     5669.06       -6.06    -2883.57    62294.57     6229.46

INCOME
Bonus                              0.00        0.00        0.00     1700.00    16300.00     1630.00
Interest - Checking                0.00        0.01       -0.01       -0.10        0.10        0.01
Interest - Other                   0.00        0.00        0.00        0.00        0.00        0.00
Interest - Savings                 1.00        2.00       -1.00      -10.00       20.00        2.00
Other Income                       0.00        0.00        0.00     -545.00      545.00       54.50
Salary                          6000.00     6000.00        0.00        0.00    60000.00     6000.00
SUBTOTAL                        6001.00     6002.01       -1.01     1144.90    76865.10     7686.51

TOTAL                            338.00      332.95                            14570.53     1457.05
