Monthly Budget Summary, November 2015

                               BUDGETED      ACTUAL                     YTD         YTD     AVERAGE
DESCRIPTION                     AMOUNTS     AMOUNTS    VARIANCE    VARIANCE      ACTUAL      ACTUAL

EXPENSES
Auto - Fees                        0.00        0.00        0.00      -45.00      100.00        9.09
Auto - Gas                       200.00      277.00      -77.00     -399.00     2599.00      236.27
Auto - Parking                    55.00       55.00        0.00        0.00      605.00       55.00
Auto - Repair and Maint          125.00        0.00      125.00     -559.00     1934.00      175.82
Cable                             99.00       97.55        1.45       15.95     1073.05       97.55
Charity                          400.00      300.00      100.00     -300.00     4700.00      427.27
Clothes                          500.00      900.00     -400.00     -102.00     5602.00      509.27
Computer                          45.00       50.00       -5.00        5.00      550.00       50.00
Entertain - DiningOut            350.00      470.00     -120.00    -1404.00     5254.00      477.64
Entertain - Music/Movies          35.00       55.00      -20.00       55.00      330.00       30.00
Entertain - Recreation           105.00      104.00        1.00        7.00     1148.00      104.36
Groceries                        900.00      900.00        0.00     -185.00    10085.00      916.82
Ins - Auto                       222.00      221.67        0.33        3.63     2438.37      221.67
Ins - Health                     333.00      332.99        0.01        0.11     3662.89      332.99
Ins - Life                       395.00      395.00        0.00        0.00     4345.00      395.00
Medical                          150.00      150.00        0.00      315.00     1335.00      121.36
Miscellaneous                    300.00      300.00        0.00     -300.00     3600.00      327.27
Online Services                   57.00       56.85        0.15        1.65      625.35       56.85
Phone                            200.00      200.00        0.00      200.00     2000.00      181.82
Taxes - Federal                  400.00      400.00        0.00     -155.00     6555.00      595.91
Taxes - Medicare                 128.00      128.00        0.00        0.00     1408.00      128.00
Taxes - Other                    777.00     1555.00     -778.00     -788.00     2231.00      202.82
Taxes - Social Security          191.00      191.00        0.00        0.00     2101.00      191.00
Taxes - State                    100.00      100.00        0.00        0.00     1100.00      100.00
Utilities - Electric             125.00       98.89       26.11     -415.86     1790.86      162.81
Utilities - Garbage               56.00       56.00        0.00        0.00      616.00       56.00
Utilities - Gas                  125.00      125.00        0.00        0.00     1375.00      125.00
Utilities - Water                 67.00       65.00        2.00       22.00      715.00       65.00
SUBTOTAL                        6440.00     7583.95    -1143.95    -4027.52    69878.52     6352.59

INCOME
Bonus                              0.00        0.00        0.00     1700.00    16300.00     1481.82
Interest - Checking                0.00        0.01       -0.01       -0.11        0.11        0.01
Interest - Other                   0.00        0.00        0.00        0.00        0.00        0.00
Interest - Savings                 1.00        2.00       -1.00      -11.00       22.00        2.00
Other Income                       0.00        0.00        0.00     -545.00      545.00       49.55
Salary                          6000.00     6000.00        0.00        0.00    66000.00     6000.00
SUBTOTAL                        6001.00     6002.01       -1.01     1143.89    82867.11     7533.37

TOTAL                           -439.00    -1581.94                            12988.59     1180.78
