Monthly Budget Summary, December 2015

                               BUDGETED      ACTUAL                     YTD         YTD     AVERAGE
DESCRIPTION                     AMOUNTS     AMOUNTS    VARIANCE    VARIANCE      ACTUAL      ACTUAL

EXPENSES
Auto - Fees                        0.00        0.00        0.00      -45.00      100.00        8.33
Auto - Gas                       200.00      272.00      -72.00     -471.00     2871.00      239.25
Auto - Parking                    55.00       55.00        0.00        0.00      660.00       55.00
Auto - Repair and Maint          125.00      312.00     -187.00     -746.00     2246.00      187.17
Cable                             99.00       97.55        1.45       17.40     1170.60       97.55
Charity                          400.00      300.00      100.00     -200.00     5000.00      416.67
Clothes                          500.00      900.00     -400.00     -502.00     6502.00      541.83
Computer                          45.00       50.00       -5.00        0.00      600.00       50.00
Entertain - DiningOut            350.00      529.00     -179.00    -1583.00     5783.00      481.92
Entertain - Music/Movies          35.00        0.00       35.00       90.00      330.00       27.50
Entertain - Recreation           105.00      104.00        1.00        8.00     1252.00      104.33
Groceries                        900.00      900.00        0.00     -185.00    10985.00      915.42
Ins - Auto                       222.00      221.67        0.33        3.96     2660.04      221.67
Ins - Health                     333.00      332.99        0.01        0.12     3995.88      332.99
Ins - Life                       395.00      395.00        0.00        0.00     4740.00      395.00
Medical                          150.00        0.00      150.00      465.00     1335.00      111.25
Miscellaneous                    300.00      300.00        0.00     -300.00     3900.00      325.00
Online Services                   57.00       56.85        0.15        1.80      682.20       56.85
Phone                            200.00      200.00        0.00      200.00     2200.00      183.33
Taxes - Federal                  400.00      400.00        0.00     -155.00     6955.00      579.58
Taxes - Medicare                 128.00      128.00        0.00        0.00     1536.00      128.00
Taxes - Other                      0.00        0.00        0.00     -788.00     2231.00      185.92
Taxes - Social Security          191.00      191.00        0.00        0.00     2292.00      191.00
Taxes - State                    100.00      100.00        0.00        0.00     1200.00      100.00
Utilities - Electric             125.00       88.87       36.13     -379.73     1879.73      156.64
Utilities - Garbage               56.00       56.00        0.00        0.00      672.00       56.00
Utilities - Gas                  125.00      125.00        0.00        0.00     1500.00      125.00
Utilities - Water                 67.00       65.00        2.00       24.00      780.00       65.00
SUBTOTAL                        5663.00     6179.93     -516.93    -4544.45    76058.45     6338.20

INCOME
Bonus                           8000.00     8000.00        0.00     1700.00    24300.00     2025.00
Interest - Checking                0.00        0.01       -0.01       -0.12        0.12        0.01
Interest - Other                   0.00        0.00        0.00        0.00        0.00        0.00
Interest - Savings                 1.00        2.00       -1.00      -12.00       24.00        2.00
Other Income                       0.00        0.00        0.00     -545.00      545.00       45.42
Salary                          6000.00     6000.00        0.00        0.00    72000.00     6000.00
SUBTOTAL                       14001.00    14002.01       -1.01     1142.88    96869.12     8072.43

TOTAL                           8338.00     7822.08                            20810.67     1734.22
